date	1. open	2. high	3. low	4. close	5. volume
2019-03-01 09:30:00	174.33	174.38	173.4499	173.6075	4057516.0
2019-03-01 10:30:00	173.63	173.932	172.89	173.31	3025455.0
2019-03-01 11:30:00	173.33	173.8916	172.92	173.8	3639877.0
2019-03-01 12:30:00	173.85	174.32	173.81	174.15	2311438.0
2019-03-01 13:30:00	174.16	175.14	174.12	175.11	2878007.0
2019-03-01 14:30:00	175.11	175.14	174.69	174.81	2446421.0
2019-03-01 15:30:00	174.82	175.11	174.78	174.9	2939636.0
2019-03-04 09:30:00	175.69	177.75	175.69	177.33	7455820.0
2019-03-04 10:30:00	177.36	177.385	175.93	176.395	3760759.0
2019-03-04 11:30:00	176.33	176.43	173.98	174.53	4285656.0
2019-03-04 12:30:00	174.49	175.29	174.29	175.21	2577194.0
2019-03-04 13:30:00	175.22	175.72	175.05	175.65	2018122.0
2019-03-04 14:30:00	175.67	175.71	175.23	175.33	1929629.0
2019-03-04 15:30:00	175.35	175.96	175.29	175.86	2586405.0
2019-03-05 09:30:00	175.89	175.94	174.56	174.7	4888339.0
2019-03-05 10:30:00	174.71	175.6551	174.7	175.43	2808692.0
2019-03-05 11:30:00	175.39	175.94	175.1	175.2	2044967.0
2019-03-05 12:30:00	175.22	175.47	175.1	175.26	1371077.0
2019-03-05 13:30:00	175.25	175.62	175.16	175.57	1182124.0
2019-03-05 14:30:00	175.58	175.69	175.45	175.53	1411072.0
2019-03-05 15:30:00	175.52	175.85	175.505	175.51	1862659.0
2019-03-06 09:30:00	174.75	175.49	173.94	174.92	5652178.0
2019-03-06 10:30:00	174.89	175.46	174.67	174.93	2238763.0
2019-03-06 11:30:00	174.9547	175.2	174.68	174.8	2174542.0
2019-03-06 12:30:00	174.83	175.08	174.48	174.53	1518324.0
2019-03-06 13:30:00	174.53	174.92	174.495	174.77	1964665.0
2019-03-06 14:30:00	174.78	174.83	174.37	174.545	2188635.0
2019-03-06 15:30:00	174.54	174.87	174.45	174.51	1915543.0
2019-03-07 09:30:00	173.9	174.43	172.04	172.755	6003448.0
2019-03-07 10:30:00	172.71	173.23	172.289	173.0	2875441.0
2019-03-07 11:30:00	173.08	173.68	173.08	173.58	2142891.0
2019-03-07 12:30:00	173.56	174.23	173.05	173.83	2162868.0
2019-03-07 13:30:00	173.82	173.97	173.22	173.325	1719814.0
2019-03-07 14:30:00	173.33	173.395	172.38	172.48	3083182.0
2019-03-07 15:30:00	172.46	172.85	172.3	172.48	2523989.0
2019-03-08 09:30:00	170.31	171.78	169.5	171.58	6692397.0
2019-03-08 10:30:00	171.62	172.25	171.12	171.95	3063801.0
2019-03-08 11:30:00	171.98	172.06	171.26	171.54	1959264.0
2019-03-08 12:30:00	171.54	171.66	171.23	171.3438	1380469.0
2019-03-08 13:30:00	171.355	172.07	171.24	171.95	1599454.0
2019-03-08 14:30:00	171.96	172.75	171.95	172.14	2808257.0
2019-03-08 15:30:00	172.11	173.06	172.03	172.92	6261374.0
2019-03-11 09:30:00	175.55	177.67	175.35	177.505	8246706.0
2019-03-11 10:30:00	177.5	178.62	177.44	178.55	4548380.0
2019-03-11 11:30:00	178.55	178.9716	178.32	178.54	3406664.0
2019-03-11 12:30:00	178.545	178.84	178.4678	178.84	2346588.0
2019-03-11 13:30:00	178.8346	178.95	178.56	178.65	1904183.0
2019-03-11 14:30:00	178.67	178.94	178.45	178.85	3137517.0
2019-03-11 15:30:00	178.8601	179.12	178.76	178.98	3418566.0
2019-03-12 09:30:00	180.0	181.8	179.38	181.74	8661938.0
2019-03-12 10:30:00	181.75	182.66	181.6713	182.0	5950714.0
2019-03-12 11:30:00	182.01	182.08	181.23	181.65	3602347.0
